mondo_id,mondo_name,mondo_depth,n_genes_ppi,n_genes_direct,n_genes_propagated,passed_direct_filter,in_omim,in_gwas
MONDO:0005560,brain disorder,4,2597,19,2578,True,True,False
MONDO:0004992,cancer,5,2230,51,2179,True,True,True
MONDO:0005015,diabetes mellitus,4,1664,51,1613,True,True,True
MONDO:0005385,vascular disorder,3,1563,1,1562,True,True,False
MONDO:0005148,type 2 diabetes mellitus,5,1526,1526,0,True,True,True
MONDO:0000816,abdominal obesity-metabolic syndrome,3,1144,1142,2,True,True,True
MONDO:0013600,insomnia,3,926,926,0,True,True,True
MONDO:0007179,autoimmune disease,3,880,5,875,True,True,False
MONDO:0005059,leukemia,5,801,37,764,True,True,False
MONDO:0002406,dermatitis,3,752,49,703,True,True,True
MONDO:0007263,cardiac rhythm disease,4,749,15,734,True,False,True
MONDO:0004981,atrial fibrillation,5,714,713,1,True,True,True
MONDO:0020076,myeloproliferative neoplasm,5,702,10,692,True,True,True
MONDO:0004643,myeloid leukemia,6,689,3,686,True,True,False
MONDO:0018874,acute myeloid leukemia,4,686,1,685,True,True,False
MONDO:0850269,core binding factor acute myeloid leukemia,5,684,684,0,True,False,True
MONDO:0005488,adolescent idiopathic scoliosis,4,652,652,0,True,False,True
MONDO:0005392,scoliosis,6,652,1,651,True,True,True
MONDO:0005090,schizophrenia,5,599,595,4,True,True,True
MONDO:0005010,coronary artery disorder,4,510,510,0,True,True,True
MONDO:0005578,arthritic joint disease,3,487,2,485,True,False,True
MONDO:0005371,mood disorder,4,480,2,478,True,False,True
MONDO:0008315,prostate cancer,5,478,475,3,True,True,True
MONDO:0005265,inflammatory bowel disease,3,459,309,150,True,True,True
MONDO:0004892,refractive error,4,444,427,17,True,False,True
MONDO:0004979,asthma,5,439,412,27,True,True,True
MONDO:0005240,kidney disorder,3,439,4,435,True,True,True
MONDO:0005271,allergic disease,4,426,23,403,True,False,True
MONDO:0005393,gout,3,384,384,0,True,True,True
MONDO:0002050,depressive disorder,5,381,268,113,True,False,True
MONDO:0005275,lung disorder,4,350,2,348,True,True,False
MONDO:0004980,atopic eczema,4,347,347,0,True,False,True
MONDO:0007254,breast cancer,4,343,333,10,True,True,True
MONDO:0019056,neuromuscular disease,3,339,1,338,True,True,False
