mondo_id,disease,raw_gene_count,ppi_gene_count,direct_gene_count,reason
MONDO:0002602,central nervous system disorder,4524,2962,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0023370,neoplastic disease or syndrome,4007,2495,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005070,neoplasm,3978,2476,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005172,skeletal system disorder,3633,2257,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005381,bone disorder,3409,2100,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019052,inborn errors of metabolism,2554,1861,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002356,pancreas disorder,2606,1716,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002908,glucose metabolism disease,2536,1670,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0001933,endocrine pancreas disorder,2531,1665,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005267,heart disorder,2195,1539,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100545,hereditary neurological disease,1641,1338,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003916,overnutrition,1845,1164,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005084,mental disorder,1860,1153,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005093,skin disorder,1637,1119,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000473,arterial disorder,1516,1034,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002334,hematopoietic and lymphoid system neoplasm,1591,955,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0044881,hematopoietic and lymphoid cell neoplasm,1586,950,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005328,eye disorder,1326,917,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002039,cognitive disorder,1309,867,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005020,intestinal disorder,1245,815,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019755,developmental defect during embryogenesis,835,765,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005170,myeloid neoplasm,1325,760,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0010643,acute leukemia,1315,760,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000270,lower respiratory tract disorder,1064,749,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000621,immune system cancer,1299,744,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003225,bone marrow disorder,1272,735,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021581,connective tissue neoplasm,1260,717,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019060,bone neoplasm,1248,709,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0015756,myeloid hemopathy,1246,709,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005559,neurodegenerative disease,937,709,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002129,bone cancer,1240,703,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000637,musculoskeletal system cancer,1240,703,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021138,bone marrow cancer,1239,702,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005374,bone marrow neoplasm,1239,702,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000836,disease of bone structure,1201,654,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000726,idiopathic scoliosis,1195,652,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0006054,reproductive system neoplasm,938,601,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005485,psychotic disorder,928,599,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005554,rheumatic disorder,846,589,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003150,male reproductive system disorder,881,585,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002149,reproductive system cancer,871,552,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100118,hereditary skin disorder,776,545,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024582,male reproductive system neoplasm,816,526,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005626,epithelial neoplasm,748,498,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0006816,arthropathy,730,497,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000429,autosomal genetic disease,527,493,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004993,carcinoma,740,491,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002614,bone inflammation disease,717,490,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005836,male reproductive organ cancer,755,483,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021350,neoplasm of thorax,762,483,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003274,thoracic cancer,761,482,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003105,prostate disorder,749,478,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021259,prostate neoplasm,749,478,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0001358,bronchial disorder,619,448,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000605,hypersensitivity reaction disease,613,433,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024634,large intestine disorder,665,430,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021223,digestive system neoplasm,628,403,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002516,digestive system cancer,615,394,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024417,perceptual disorders,489,381,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003240,thyroid gland disorder,551,350,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021100,breast neoplasm,554,344,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0043218,neurovascular disorder,513,334,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019042,multiple congenital anomalies/dysmorphic syndrome,330,311,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0015327,developmental anomaly of metabolic origin,303,299,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024237,inherited neurodegenerative disorder,338,296,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100546,hereditary neuromuscular disease,331,288,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000589,autoimmune disorder of musculoskeletal system,422,288,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0006025,autosomal recessive disease,296,287,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003939,muscle tissue disorder,345,285,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002515,hepatobiliary disorder,368,283,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004670,lupus erythematosus,402,280,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021118,intestinal neoplasm,428,266,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005814,intestinal cancer,416,258,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005335,colorectal neoplasm,416,258,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019243,inborn disorder of energy metabolism,252,249,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003620,peripheral nervous system disorder,283,244,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002977,autoimmune disorder of the nervous system,343,243,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000569,autoimmune disorder of endocrine system,371,240,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005497,bone development disease,278,233,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0020800,demyelinating disease of central nervous system,327,232,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002562,demyelinating disease,327,232,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000568,autoimmune disorder of central nervous system,327,232,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005283,retinal disorder,267,232,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0006704,CNS demyelinating autoimmune disease,327,232,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002259,gonadal disorder,303,230,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005561,aortic disorder,321,223,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003409,colonic disorder,341,223,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004867,upper respiratory tract disorder,313,213,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000426,autosomal dominant disease,237,212,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024643,myocardial disorder,285,212,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100500,Mendelian neurodevelopmental disorder,216,211,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005157,lymphoid neoplasm,296,208,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0015757,lymphoid hemopathy,289,205,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021945,hearing disorder,281,202,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004069,inborn mitochondrial metabolism disorder,200,197,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019189,inborn disorder of amino acid and other organic acid metabolism,201,196,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000588,autoimmune disorder of gastrointestinal tract,285,196,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005395,movement disorder,219,192,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004805,leukocyte disorder,269,189,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024276,glandular cell neoplasm,258,188,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005154,liver disorder,242,188,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004868,biliary tract disorder,245,184,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005292,colitis,276,183,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0020127,hereditary peripheral neuropathy,199,175,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003996,basal ganglia disorder,235,172,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100191,inherited kidney disorder,206,172,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0020799,basal cell neoplasm,265,169,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000376,respiratory system cancer,252,169,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005574,tauopathy,257,168,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002263,female reproductive system disorder,258,167,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021095,parkinsonian disorder,229,166,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0020641,respiratory tract neoplasm,251,166,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0016387,mitochondrial oxidative phosphorylation disorder,167,164,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021117,lung neoplasm,238,160,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002320,congenital nervous system disorder,167,160,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000771,allergic respiratory disease,233,160,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0700057,neurological pain disorder,245,154,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021146,headache disorder,244,153,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0017181,hypnic headache,244,153,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0020120,skeletal muscle disorder,174,152,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002531,skin neoplasm,222,152,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0015159,multiple congenital anomalies/dysmorphic syndrome-intellectual disability,146,142,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100581,ocular growth disorder,223,141,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002567,tracheal disorder,202,141,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002267,obstructive lung disease,202,141,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100547,cardiogenetic disease,154,136,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021066,urinary system neoplasm,183,135,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0006295,malignant urinary system neoplasm,183,135,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0003749,esophageal disorder,202,135,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005503,developmental disorder of mental health,235,134,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000653,integumentary system cancer,190,131,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002494,substance-related disorder,217,130,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004095,B-cell neoplasm,195,129,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0042489,disease susceptibility,185,128,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0020573,inherited disease susceptibility,185,128,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004736,inborn disorder of amino acid metabolism,127,123,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0037871,amino acid metabolism disease,127,123,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004126,thyroiditis,197,116,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004298,stomach disorder,190,116,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005379,neurotic disorder,196,115,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100038,complex neurodevelopmental disorder,121,115,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002869,heart valve disorder,167,115,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0015161,multiple congenital anomalies/dysmorphic syndrome without intellectual disability,127,115,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004949,neoplasm of mature B-cells,171,115,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0019722,glomerular disorder,157,113,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000592,specific developmental disorder,209,113,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021163,kidney neoplasm,154,112,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0000591,intrinsic cardiomyopathy,140,110,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021635,neurocristopathy,158,109,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0006999,tooth disorder,167,106,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0004634,vein disorder,163,104,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0001166,nephritis,149,104,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005138,lung carcinoma,153,103,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002462,glomerulonephritis,146,103,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005303,drug dependence,159,102,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0100309,hereditary ataxia,116,102,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021674,post-viral disorder,145,102,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021634,epithelial skin neoplasm,152,102,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0021248,nervous system neoplasm,158,100,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002654,uterine disorder,175,100,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0005047,infertility disorder,105,100,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0700223,hereditary skeletal muscle disorder,105,99,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002427,cerebellar disorder,111,99,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0015547,hereditary dementia,119,98,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0024635,small intestine disorder,144,98,0,pure propagation — no direct OMIM/GWAS evidence
MONDO:0002220,tooth hard tissue disease,154,97,0,pure propagation — no direct OMIM/GWAS evidence
