disease,z_score,separation,n_genes,p_value,p_adj_fdr,p_adj_bonf,sig_fdr,relationship
otosclerosis,2.2043927887619423,0.42835167554997877,26,0.0278,0.047224358974358976,1.0,*,Separated
pneumonia,2.2048229312700567,0.31999239874947993,63,0.0264,0.045135483870967746,1.0,*,Separated
cirrhosis of liver,2.2362286473045505,0.23894897538232351,98,0.0248,0.04267532467532467,1.0,*,Separated
asthma,2.2430426718724052,0.031157070062157732,439,0.0243,0.04208823529411765,1.0,*,Separated
macular degeneration,2.30451875407614,0.32334141940040473,57,0.0202,0.035450331125827815,1.0,*,Separated
varicose disease,2.3069263136579976,0.2298349640999322,104,0.0218,0.03800657894736842,1.0,*,Separated
psoriatic arthritis,2.3176221612438432,0.45917457419967356,33,0.0201,0.035450331125827815,1.0,*,Separated
motion sickness,2.3228902645639646,0.42492535417063704,22,0.0169,0.030260135135135133,1.0,*,Separated
mitral valve prolapse,2.334803995884591,0.49142367066895365,22,0.0188,0.03343624161073826,1.0,*,Separated
oligodendroglioma,2.392352765068797,0.4568460223476294,20,0.0169,0.030260135135135133,1.0,*,Separated
plasma cell myeloma,2.410409764733038,0.4125736028263485,40,0.0145,0.026500000000000003,1.0,*,Separated
osteoporosis,2.4316022695191837,0.39505860570987883,36,0.0142,0.026131944444444447,1.0,*,Separated
primary biliary cholangitis,2.470973826982043,0.26400722045250347,84,0.0147,0.026681506849315067,1.0,*,Separated
fatty liver disease,2.474862967114451,0.4632682162546622,29,0.0141,0.026129370629370628,1.0,*,Separated
alcohol abuse,2.497366206602074,0.3957056754085293,36,0.0136,0.025380281690140845,1.0,*,Separated
skin carcinoma,2.5069793649810586,0.2446789488408121,101,0.0116,0.02180141843971631,1.0,*,Separated
brain disorder,2.5525705414970634,-0.07180870077115475,2597,0.0115,0.021767857142857144,1.0,*,Separated
nicotine dependence,2.562941151444821,0.27140417305361697,87,0.0089,0.017341911764705883,1.0,*,Separated
interstitial lung disease,2.5733666667366206,0.3610634648370499,53,0.0101,0.019255395683453237,1.0,*,Separated
anxiety disorder,2.580303707922904,0.15250749367798777,181,0.0096,0.01843478260869565,1.0,*,Separated
dyslexia,2.5851682533475495,0.38566647181474,40,0.0096,0.01843478260869565,1.0,*,Separated
genetic generalized epilepsy,2.6326591559784913,0.4520074351085437,27,0.0068,0.013755725190839695,1.0,*,Separated
malaria,2.6387275767831935,0.44648538747563693,26,0.0065,0.01325,1.0,*,Separated
post-traumatic stress disorder,2.6450324421655016,0.22068656743006865,115,0.0077,0.015227611940298508,1.0,*,Separated
nephrolithiasis,2.6569100647748924,0.44279186768932455,30,0.0077,0.015227611940298508,1.0,*,Separated
acne,2.6923826398591775,0.3494559673196713,50,0.0086,0.01688148148148148,1.0,*,Separated
membranous glomerulonephritis,2.7121739907250237,0.4572873451976156,25,0.0064,0.01325,1.0,*,Separated
rheumatoid arthritis,2.7212456607205127,0.09680064363103669,288,0.0071,0.01425378787878788,1.0,*,Separated
dermatitis,2.7270685576468847,-0.015105825421227292,752,0.0056,0.011871999999999999,1.0,*,Separated
sarcoma,2.732535035781336,0.5284376390683128,25,0.006,0.01251968503937008,1.0,*,Separated
skin cancer,2.742194469702481,0.20632050223245213,130,0.006,0.01251968503937008,1.0,*,Separated
