entrez_gene_id,in_jaxa,in_twins,in_i4,n_sources
3500,False,True,True,2
1462,False,True,True,2
212,False,True,True,2
1667,False,True,True,2
1668,False,True,True,2
10579,True,True,False,2
27181,True,True,False,2
1509,False,True,True,2
57188,True,True,False,2
51059,True,True,False,2
28424,False,True,True,2
388468,True,True,False,2
140690,True,True,False,2
3042,False,True,True,2
4946,False,True,True,2
3047,False,True,True,2
158158,True,True,False,2
100132247,False,True,True,2
3745,True,True,False,2
3049,False,True,True,2
1118,True,True,False,2
27173,False,True,False,1
84518,False,True,False,1
391723,True,False,False,1
2597,False,True,False,1
55851,False,True,False,1
2596,True,False,False,1
23072,True,False,False,1
27239,False,True,False,1
6753,True,False,False,1
64093,True,False,False,1
170589,True,False,False,1
64084,True,False,False,1
2642,True,False,False,1
6737,False,True,False,1
6688,False,True,False,1
64077,True,False,False,1
2636,True,False,False,1
10826,False,False,True,1
23114,True,False,False,1
92745,False,True,False,1
6710,False,False,True,1
55859,False,True,False,1
27180,False,True,False,1
23117,False,True,False,1
10725,False,True,False,1
10724,False,True,False,1
2528,True,False,False,1
6622,False,False,True,1
23001,False,True,False,1
6614,False,True,False,1
55761,False,True,False,1
6612,False,True,False,1
23049,False,True,False,1
51666,False,True,False,1
2512,False,True,False,1
375248,False,True,False,1
10699,False,True,False,1
22986,False,True,False,1
10695,False,True,False,1
22974,False,True,False,1
154043,False,True,False,1
80336,False,True,False,1
10783,False,True,False,1
84504,True,False,False,1
51734,False,True,False,1
55819,False,True,False,1
2567,True,False,False,1
55811,False,True,False,1
6659,False,True,False,1
23038,False,True,False,1
63978,False,True,False,1
2555,True,False,False,1
6648,False,True,False,1
55799,False,True,False,1
285175,False,True,False,1
27123,True,False,False,1
346606,False,True,False,1
342510,False,True,False,1
113130,False,True,False,1
55803,False,True,False,1
727830,True,False,False,1
11027,False,True,False,1
23313,False,True,False,1
11024,False,True,False,1
2832,True,False,False,1
6928,True,False,False,1
387856,True,False,False,1
2822,False,True,False,1
6590,False,True,False,1
6903,False,True,False,1
2799,False,True,False,1
10991,True,False,False,1
2797,True,False,False,1
6888,False,True,False,1
2790,False,True,False,1
10981,False,True,False,1
10978,False,True,False,1
11000,False,True,False,1
219972,False,True,False,1
56131,True,False,False,1
80704,False,True,False,1
23360,False,True,False,1
80700,False,False,True,1
11069,False,True,False,1
2876,False,True,False,1
219960,True,False,False,1
11031,False,True,False,1
2864,True,False,False,1
27439,False,True,False,1
2861,True,False,False,1
23334,False,True,False,1
6947,False,True,False,1
6945,False,True,False,1
2845,False,True,False,1
2843,True,False,False,1
146225,False,True,False,1
10915,False,True,False,1
6819,False,True,False,1
55969,False,True,False,1
55966,False,True,False,1
6809,False,True,False,1
10903,False,True,False,1
129684,True,False,False,1
64137,True,False,False,1
338657,False,True,False,1
10886,True,False,False,1
64130,True,False,False,1
10871,False,True,False,1
6768,False,True,False,1
55920,False,True,False,1
10864,True,False,False,1
10858,False,True,False,1
2665,False,True,False,1
84616,True,False,False,1
56033,True,False,False,1
2782,False,True,False,1
64218,False,True,False,1
2771,False,True,False,1
219855,False,True,False,1
2766,False,False,True,1
154313,False,True,False,1
326340,True,False,False,1
23205,False,True,False,1
27329,True,False,False,1
2752,False,True,False,1
10942,True,False,False,1
23224,False,True,False,1
203447,True,False,False,1
84658,False,True,False,1
387758,True,False,False,1
10924,False,True,False,1
64170,False,True,False,1
6850,False,True,False,1
2201,False,True,False,1
51352,True,False,False,1
6295,True,False,False,1
6286,False,True,False,1
6283,False,True,False,1
6282,False,True,False,1
10376,False,True,False,1
2180,False,True,False,1
117157,False,True,False,1
51327,False,False,True,1
653437,True,False,False,1
2162,False,True,False,1
6256,False,True,False,1
51311,False,True,False,1
6252,False,True,False,1
84073,False,True,False,1
51305,True,False,False,1
112770,False,True,False,1
2241,False,True,False,1
6336,True,False,False,1
2235,False,False,True,1
84152,True,False,False,1
2217,False,True,False,1
10409,False,True,False,1
80032,False,True,False,1
10402,False,True,False,1
2205,False,True,False,1
84133,True,False,False,1
2212,False,True,False,1
51363,False,True,False,1
112802,True,False,False,1
2209,False,True,False,1
2207,False,True,False,1
80031,True,False,False,1
84125,False,True,False,1
2214,False,True,False,1
55357,False,True,False,1
120892,False,True,False,1
79930,False,True,False,1
129080,True,False,False,1
79923,False,True,False,1
2099,False,True,False,1
79919,True,False,False,1
51237,False,True,False,1
374882,False,True,False,1
55315,False,True,False,1
55313,False,True,False,1
79887,False,True,False,1
55304,False,True,False,1
124935,False,True,False,1
51206,False,True,False,1
2047,False,True,False,1
79868,False,True,False,1
2078,False,True,False,1
6241,False,True,False,1
51296,False,True,False,1
51294,False,True,False,1
79962,False,True,False,1
284759,False,True,False,1
10326,False,True,False,1
51284,False,True,False,1
79955,False,True,False,1
79935,True,False,False,1
92241,False,True,False,1
79953,True,False,False,1
2124,False,True,False,1
145482,False,True,False,1
10313,False,True,False,1
55365,False,True,False,1
55364,False,True,False,1
2114,False,True,False,1
10321,False,True,False,1
10613,False,True,False,1
6511,True,False,False,1
6510,False,True,False,1
84329,False,True,False,1
203111,True,False,False,1
84317,False,True,False,1
22873,True,False,False,1
55636,False,True,False,1
6340,True,False,False,1
10578,False,True,False,1
10577,False,True,False,1
6478,False,False,True,1
55625,False,True,False,1
26952,True,False,False,1
10562,False,True,False,1
203068,False,True,False,1
51514,False,True,False,1
10580,False,True,False,1
63928,False,True,False,1
55731,False,True,False,1
80301,False,True,False,1
22953,True,False,False,1
43849,True,False,False,1
10653,False,True,False,1
22941,True,False,False,1
6555,False,True,False,1
6518,False,True,False,1
80274,False,True,False,1
55693,True,False,False,1
27019,True,False,False,1
6535,False,False,True,1
22918,False,True,False,1
80256,False,True,False,1
22906,False,True,False,1
6521,False,False,True,1
117144,False,True,False,1
84196,False,True,False,1
2275,False,True,False,1
84191,False,True,False,1
10462,False,True,False,1
2268,False,True,False,1
2261,True,False,False,1
2259,False,True,False,1
2258,False,True,False,1
2358,False,True,False,1
55503,True,False,False,1
84164,False,False,True,1
2250,True,False,False,1
6345,True,False,False,1
84168,True,False,False,1
10439,False,True,False,1
51398,False,True,False,1
10437,False,True,False,1
55505,False,True,False,1
2357,False,True,False,1
6451,False,True,False,1
2353,False,True,False,1
