mondo_id,mondo_name,depth
MONDO:0000001,disease,0
MONDO:0005583,non-human animal disease,1
MONDO:0700096,human disease,1
MONDO:0005071,nervous system disorder,2
MONDO:0005046,immune system disorder,2
MONDO:0005066,metabolic disease,2
MONDO:0005087,respiratory system disorder,2
MONDO:0002657,breast disorder,2
MONDO:0005137,nutritional disorder,2
MONDO:0006858,mouth disorder,2
MONDO:0005550,infectious disease,2
MONDO:0005570,hematologic disorder,2
MONDO:1010003,"narcolepsy, non-human animal",2
MONDO:0004335,digestive system disorder,2
MONDO:0700220,disease related to transplantation,2
MONDO:0005039,reproductive system disorder,2
MONDO:0700104,"respiratory system disorder, non-human animal",2
MONDO:0700106,"immune system disorder, non-human animal",2
MONDO:0004995,cardiovascular disorder,2
MONDO:0005151,endocrine system disorder,2
MONDO:0024919,dog disease,2
MONDO:0024934,fish disease,2
MONDO:0024950,horse disease,2
MONDO:0024953,"lameness, non-human animal",2
MONDO:0024912,cat disease,2
MONDO:0024913,cattle disease,2
MONDO:0024981,rodent disease,2
MONDO:0024985,sheep disease,2
MONDO:0024990,swine disease,2
MONDO:0025003,goat disease,2
MONDO:0025013,non-human primate disease,2
MONDO:0700049,"infectious disease, non-human animal",2
MONDO:0002254,syndromic disease,2
MONDO:0043839,ulcer disease,2
MONDO:0043459,radiation-induced disorder,2
MONDO:0043543,iatrogenic disease,2
MONDO:0003900,connective tissue disorder,2
MONDO:0003847,hereditary disease,2
MONDO:0024458,disorder of visual system,2
MONDO:0044970,mitochondrial disease,2
MONDO:0044991,upper digestive tract disorder,2
MONDO:0100366,occupational disorder,2
MONDO:0045024,cancer or benign tumor,2
MONDO:0024322,disorder of glycosylation,2
MONDO:0024905,bird disease,2
MONDO:1011344,"perinatal disease, non-human animal",2
MONDO:1011345,"poisoning, non-human animal",2
MONDO:1011348,"post-infectious disorder, non-human animal",2
MONDO:1011300,"acute disease, non-human animal",2
MONDO:1011301,"auditory system disorder, non-human animal",2
MONDO:1011303,"mammary gland disorder, non-human animal",2
MONDO:1011305,"cancer or benign tumor, non-human animal",2
MONDO:1011306,"cardiovascular disorder, non-human animal",2
